SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
640,1640,REVOK BEIGE,https://varmora.com/product/floor-tiles/revok-beige/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BEIGE,0.95,0.88,0.76,15.5,1,0,0,0,0,0,0
641,1641,REVOK DOVE,https://varmora.com/product/floor-tiles/revok-dove/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, DOVE,0.95,0.91,0.85,15.5,1,0,0,0,0,0,0
642,1642,REVOK VERDE,https://varmora.com/product/floor-tiles/revok-verde/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, VERDE,0.84,0.72,0.57,15.5,1,0,0,0,0,0,0
643,1643,RIBBON BEIGE,https://varmora.com/product/floor-tiles/ribbon-beige/, GVT, WALL & FLOOR, ATLAS,600,600, CEMENT, GLOSSY, BEIGE,0.8,0.72,0.66,15.5,0,1,0,0,0,0,1
644,1644,RIBBON DOVE,https://varmora.com/product/floor-tiles/ribbon-dove/, GVT, WALL & FLOOR, ATLAS,600,600, CEMENT, GLOSSY, DOVE,0.84,0.82,0.81,15.5,0,1,0,0,0,0,1
645,1645,RIBBON NERO,https://varmora.com/product/floor-tiles/ribbon-nero/, GVT, WALL & FLOOR, ATLAS,600,600, CEMENT, GLOSSY, NERO,0.67,0.64,0.62,15.5,0,1,0,0,0,0,1
660,1660,ROMAN BLACK,https://varmora.com/product/floor-tiles/roman-black/, FULLBODY, OUTDOOR & INDOOR, ROMAN DK,600,600, S&P, MATT, BLACK,0.34,0.34,0.34,15.5,1,0,0,0,0,1,0
661,1661,ROMAN CHOCO,https://varmora.com/product/floor-tiles/roman-choco/, FULLBODY, OUTDOOR & INDOOR, ROMAN DK,600,600, S&N, MATT, CHOCO,0.51,0.44,0.42,15.5,1,0,0,0,0,1,0
662,1662,ROMAN GREY,https://varmora.com/product/floor-tiles/roman-grey/, FULLBODY, OUTDOOR & INDOOR, ROMAN LT,600,600, S&P, MATT, GREY,0.71,0.69,0.7,15.5,1,0,0,0,0,1,0
663,1663,ROMAN IVORY,https://varmora.com/product/floor-tiles/roman-ivory/, FULLBODY, OUTDOOR & INDOOR, ROMAN LT,600,600, S&P, MATT, IVORY,0.9,0.86,0.81,15.5,1,0,0,0,0,1,0
670,1670,ROXY BLACK,https://varmora.com/product/floor-tiles/roxy-black/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, BLACK,0.23,0.24,0.25,15.5,0,0,0,1,0,0,0
674,1674,SACHA,https://varmora.com/product/floor-tiles/sacha/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, BEIGE,0.96,0.95,0.92,15.5,0,0,1,0,0,0,0
683,1683,SCALA A& B,https://varmora.com/product/floor-tiles/scala-a-b/, GVT, WALL & FLOOR, ATLAS,600,600, MARBLE, GLOSSY, CREAM,0.83,0.77,0.72,15.5,0,1,0,0,0,0,0
685,1685,SENTANA WENGUE,https://varmora.com/product/floor-tiles/sentana-wengue/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, WANGUE,0.49,0.36,0.28,15.5,0,0,0,0,1,0,0
686,1686,SERA STONE BIANCO,https://varmora.com/product/floor-tiles/sera-stone-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, RUSTIC MATT, BIANCO,0.9,0.86,0.82,15.5,1,0,0,0,0,0,0
